id,pi_list,pi_cs_code,pi_part_code,pi_curr,pi_um,pi_start,pi_expire,pi_list_price,created_at,updated_at,edited_by,x,,
0,327-2104,BINTANA,327-9200 Xirallic,IDR,GR,20/02/2020,31/12/2040,672.1,06/07/2021,06/07/2021,imi,,,
0,327-2104,BINTANA,327-9497 Special,IDR,GR,20/02/2020,31/12/2040,298.1,06/07/2021,06/07/2021,imi,,,
0,327-2104,BINTANA,327-9497 Xirallic,IDR,GR,20/02/2020,31/12/2040,672.1,06/07/2021,06/07/2021,imi,,,
0,ASTR2002,ASTRA,257-1137 Xirallic,IDR,GR,20/02/2020,31/12/2040,330,06/07/2021,06/07/2021,imi,,,
0,ASTR2002,ASTRA,257-1137 XirallicA,IDR,GR,20/02/2020,31/12/2040,330,06/07/2021,06/07/2021,imi,,,
0,ASTR2002,ASTRA,257-1137-1LTA,IDR,GR,20/02/2020,31/12/2040,379,06/07/2021,06/07/2021,imi,,,
0,ASTR2002,ASTRA,257-1145 Pearl,IDR,GR,20/02/2020,31/12/2040,201.3,06/07/2021,06/07/2021,imi,,,
0,ASTR2002,ASTRA,257-1145 Special,IDR,GR,20/02/2020,31/12/2040,184.8,06/07/2021,06/07/2021,imi,,,
0,ASTR2002,ASTRA,257-1145 Standard,IDR,GR,20/02/2020,31/12/2040,170.5,06/07/2021,06/07/2021,imi,,,
0,ASTR2002,ASTRA,257-1145 Xirallic,IDR,GR,20/02/2020,31/12/2040,330,06/07/2021,06/07/2021,imi,,,
0,ASTR2002,ASTRA,257-1145-1LT,IDR,GR,20/02/2020,31/12/2040,379,06/07/2021,06/07/2021,imi,,,
0,ASTR2002,ASTRA,257-1146 Pearl,IDR,GR,20/02/2020,31/12/2040,201.3,06/07/2021,06/07/2021,imi,,,
0,ASTR2002,ASTRA,257-1146 Special,IDR,GR,20/02/2020,31/12/2040,184.8,06/07/2021,06/07/2021,imi,,,
0,ASTR2002,ASTRA,257-1146 Standard,IDR,GR,20/02/2020,31/12/2040,170.5,06/07/2021,06/07/2021,imi,,,
0,ASTR2002,ASTRA,257-1146 Xirallic,IDR,GR,20/02/2020,31/12/2040,330,06/07/2021,06/07/2021,imi,,,
0,ASTR2002,ASTRA,257-1146-1LT,IDR,GR,20/02/2020,31/12/2040,379,06/07/2021,06/07/2021,imi,,,
0,ASTR2002,ASTRA,257-1158 Pearl,IDR,GR,20/02/2020,31/12/2040,201.3,06/07/2021,06/07/2021,imi,,,
0,ASTR2002,ASTRA,257-1158 Xirallic,IDR,GR,20/02/2020,31/12/2040,330,06/07/2021,06/07/2021,imi,,,
0,ASTR2002,ASTRA,257-1158-1LT,IDR,GR,20/02/2020,31/12/2040,379,06/07/2021,06/07/2021,imi,,,
0,ASTR2002,ASTRA,257-1159 Pearl,IDR,GR,20/02/2020,31/12/2040,201.3,06/07/2021,06/07/2021,imi,,,
